aer_ratings_tag,country_regional_group,country_classification__om__5_jan_2018_,department,project_name,modality,mode_of_financial_assistance,modality__financing_,source_of_funds,approved_amount__usd_mil_,disbursed_amount__usd_mil_,signed__committed_amount__usd_mil_,approval_date,approval_year,loan_grant_signing,loan_grant_effectivity__original_,loan_grant_effectivity__actual_,closing_date__estimate__ctl,closing_date__actual___ctl_,cofin__app_usd_mil_,cofin__act_usd_mil_,proj_cost__app_usd_mil_,proj_cost__act_usd_mil_,primary_sector__pcs_2014_,rrp_circulation_date__bod_,pcr_circulation_date__bod_,pcr_overall_rating,pcr_relevance,pcr_effectiveness,pcr_efficiency,pcr_sustainability,pcr_borrower_performance,pcr_ea_performance,pcr_adb_performance,pvr_circulation_date,pvr_overall_rating,pvr_relevance,pvr_effectiveness,pvr_efficiency,pvr_sustainability,pvr_borrower_performance,pvr_ea_performance,pvr_adb__performance,pcr_quality,pper_circulation_date__bod_,pper_overall_rating,pper_relevance,pper_effectiveness,pper_efficiency,pper_sustainability,pper_borrower_performance,pper_ea_performance,pper_adb_performance,source_of_latest_rating,aer_reporting_year,ied_overall_rating,ied_relevance,ied_effectiveness,ied_efficiency,ied_sustainability,ied_borrower_performance,ied_ea_performance,ied_adb_performance
1,Southeast Asia,Concessional assistance-only,SERD,Small and Medium Enterprise Development Program,Program,Program loan,,COL,20.0,20.16,20.28941856,2004,2004.0,2005.0,,2005.0,2007.0,2008.0,0.0,0.0,24.0,,IND,,2009.0,successful,relevant,effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,highly satisfactory,,successful,relevant,effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,highly satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2010.0,,,,,,,,
1,Central and West Asia,OCR Blend,CWRD,Supporting Public Resource Management Reforms in Balochistan,Program,TA loan,,COL,3.0,0.71,3.1286283,2004,2004.0,2004.0,,2004.0,2008.0,2009.0,0.0,0.0,4.64,0.713,PSM,,2009.0,unsuccessful,less than relevant,ineffective,inefficient,unlikely sustainable,unsatisfactory,unsatisfactory,satisfactory,,unsuccessful,less than relevant,ineffective,inefficient,unlikely sustainable,unsatisfactory,unsatisfactory,less than satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2010.0,,,,,,,,
1,Central and West Asia,Concessional assistance-only,CWRD,Agriculture Sector Program,Program,Program loan,,COL,55.0,54.56,54.56122323,2004,2004.0,2004.0,,2004.0,2014.0,2014.0,0.0,0.0,55.0,56.5,ANR,,2009.0,successful,relevant,less than effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,,less than successful,relevant,less than effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2010.0,,,,,,,,
1,Central and West Asia,Regular OCR-only,CWRD,Flood Mitigation Project,Project,Project loan,,COL,22.0,23.08,22.7286189,2003,2003.0,2004.0,,2004.0,2008.0,2011.0,0.0,0.0,29.35,36.54,ANR,,2009.0,successful,relevant,effective,nr,less than likely sustainable,highly satisfactory,highly satisfactory,satisfactory,,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2010.0,,,,,,,,
1,East Asia,Regular OCR-only,EARD,Gansu Clean Energy Development Project,Project,Project loan,,OCR,35.0,34.04,35.0,2003,2003.0,2004.0,,2004.0,2008.0,2008.0,38.0,40.2,87.0,93.4,ENE,,2009.0,highly successful,highly relevant,highly effective,efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory,,highly successful,highly relevant,highly effective,efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory,satisfactory,2013.0,highly successful,highly relevant,highly effective,highly efficient,most likely sustainable,highly satisfactory,highly satisfactory,satisfactory,PPER,2010.0,,,,,,,,
1,Central and West Asia,OCR Blend,CWRD,Grain Productivity Improvement Project,Project,Project loan,,OCR,26.0,15.05,26.0,2003,2003.0,2004.0,,2004.0,2009.0,2010.0,0.0,0.0,40.0,15.9,ANR,,2010.0,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2010.0,,,,,,,,
1,South Asia,Regular OCR-only,SARD,Road Sector Development Project,Project,Sector loan,,COL,56.5,60.29,58.847085,2002,2002.0,2003.0,,2003.0,2008.0,2009.0,8.5,7.9,92.5,102.2,TRA,,2009.0,successful,highly relevant,effective,highly efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,less than satisfactory,2011.0,less than successful,relevant,less than effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,PPER,2010.0,,,,,,,,
1,Central and West Asia,OCR Blend,CWRD,Sindh Rural Development Project,Project,Project loan,,COL,50.0,2.08,51.93465225,2002,2002.0,2003.0,,2004.0,2010.0,2009.0,0.0,0.0,62.5,2.63,ANR,,2010.0,unsuccessful,less than relevant,ineffective,less than efficient,unlikely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,,unsuccessful,less than relevant,ineffective,inefficient,unlikely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2010.0,,,,,,,,
1,Central and West Asia,OCR Blend,CWRD,Decentralized Elementary Education Project,Project,Project loan,,COL,75.0,8.83,77.49686769,2002,2002.0,2003.0,,2003.0,2009.0,2008.0,0.0,0.0,97.0,12.7,EDU,,2009.0,unsuccessful,less than relevant,ineffective,inefficient,less than likely sustainable,unsatisfactory,unsatisfactory,unsatisfactory,,unsuccessful,less than relevant,ineffective,inefficient,unlikely sustainable,unsatisfactory,unsatisfactory,unsatisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2010.0,,,,,,,,
1,Central and West Asia,OCR Blend,CWRD,Reproductive Health Project,Project,Project loan,,COL,36.0,5.82,38.97287472,2001,2001.0,2003.0,,2004.0,2008.0,2009.0,0.0,0.0,45.0,8.44,HLT,,2009.0,unsuccessful,less than relevant,ineffective,inefficient,unlikely sustainable,unsatisfactory,unsatisfactory,unsatisfactory,,unsuccessful,less than relevant,ineffective,inefficient,unlikely sustainable,unsatisfactory,unsatisfactory,unsatisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2010.0,,,,,,,,
