dataset,num_combinations,recommended_preproc,recommended_algorithm,recommended_score,best_preproc,best_algorithm,best_score,delta_score,rank,percentile_rank,is_top_1,is_top_3,is_top_5,best_top3_preproc,best_top3_algorithm,best_top3_score,best_top3_delta,best_top3_rank,best_top3_percentile,best_top3_is_top_1,best_top3_is_top_3,best_top3_is_top_5,recommendation_time_s,delta_multiclass_precision_macro,delta_multiclass_recall_macro,delta_multiclass_f1_weighted,best_multiclass_precision_macro,rec_multiclass_precision_macro,best_multiclass_recall_macro,rec_multiclass_recall_macro,best_multiclass_f1_weighted,rec_multiclass_f1_weighted
okcupid-stem_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True_clean_subset.csv,56,ADASYN,BalancedRandomForestClassifier,0.565,ADASYN,BalancedRandomForestClassifier,0.565,0.0,3.0,94.44,False,True,True,ADASYN,BalancedRandomForestClassifier,0.565,0.0,3.0,94.44,False,True,True,0.2313,0.0,0.0,0.0,0.642,0.642,0.409,0.409,0.648,0.648
mabbob_ela_as_5d_classify.csv,56,RandomOverSampler,RandomForestClassifier,0.529,RandomOverSampler,RandomForestClassifier,0.529,0.0,1.0,98.15,True,True,True,RandomOverSampler,RandomForestClassifier,0.529,0.0,1.0,98.15,True,True,True,0.1793,0.0,0.0,0.0,0.564,0.564,0.463,0.463,0.625,0.625
mabbob_ela_as_2d_classify.csv,56,RandomOverSampler,RandomForestClassifier,0.427,RandomOverSampler,RandomForestClassifier,0.427,0.0,1.0,98.15,True,True,True,RandomOverSampler,RandomForestClassifier,0.427,0.0,1.0,98.15,True,True,True,0.1885,0.0,0.0,0.0,0.414,0.414,0.347,0.347,0.545,0.545
jungle_chess_2pcs_raw_endgame_complete_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_subset.csv,56,EditedNearestNeighbours,GradientBoostingClassifier,0.707,RandomOverSampler,BalancedRandomForestClassifier,0.741,-0.034,24.0,56.36,False,False,False,EditedNearestNeighbours,GradientBoostingClassifier,0.707,-0.034,24.0,56.36,False,False,False,0.1687,-0.062,0.01,-0.04,0.749,0.687,0.745,0.755,0.799,0.759
jungle_chess_2pcs_endgame_rat_lion_subset.csv,56,SMOTE,GradientBoostingClassifier,0.97,SMOTETomek,RandomForestClassifier,0.975,-0.005,17.0,69.64,False,False,False,SMOTETomek,BalancedRandomForestClassifier,0.973,-0.002,10.0,82.14,False,False,False,0.1886,-0.016,0.0,-0.001,0.975,0.959,0.955,0.955,0.989,0.988
jungle_chess_2pcs_endgame_rat_lion_clean_subset.csv,56,SMOTETomek,RandomForestClassifier,0.969,SMOTE,GradientBoostingClassifier,0.974,-0.005,11.0,80.36,False,False,False,SMOTETomek,RandomForestClassifier,0.969,-0.005,11.0,80.36,False,False,False,0.1781,0.003,-0.019,-0.002,0.967,0.97,0.964,0.945,0.987,0.985
jungle_chess_2pcs_endgame_panther_lion_subset.csv,56,TomekLinks,BaggingClassifier,0.998,TomekLinks,BaggingClassifier,0.998,0.0,5.0,91.07,False,False,True,TomekLinks,BaggingClassifier,0.998,0.0,5.0,91.07,False,False,True,0.1752,0.0,0.0,0.0,0.999,0.999,0.995,0.995,0.999,0.999
jungle_chess_2pcs_endgame_panther_elephant_subset.csv,56,TomekLinks,BaggingClassifier,0.998,TomekLinks,BaggingClassifier,0.998,0.0,1.0,98.15,True,True,True,TomekLinks,BaggingClassifier,0.998,0.0,1.0,98.15,True,True,True,0.1741,0.0,0.0,0.0,0.999,0.999,0.994,0.994,0.999,0.999
football-player-position_subset.csv,56,SMOTE,GradientBoostingClassifier,0.826,SMOTE,GradientBoostingClassifier,0.826,0.0,1.0,98.21,True,True,True,SMOTE,GradientBoostingClassifier,0.826,0.0,1.0,98.21,True,True,True,0.1834,0.0,0.0,0.0,0.85,0.85,0.854,0.854,0.833,0.833
eucalyptus_subset.csv,56,RandomOverSampler,RandomForestClassifier,0.739,RandomOverSampler,RandomForestClassifier,0.739,0.0,1.0,98.18,True,True,True,RandomOverSampler,RandomForestClassifier,0.739,0.0,1.0,98.18,True,True,True,0.1782,0.0,0.0,0.0,0.771,0.771,0.722,0.722,0.787,0.787
