dataset,num_combinations,recommended_preproc,recommended_algorithm,recommended_score,best_preproc,best_algorithm,best_score,delta_score,rank,percentile_rank,is_top_1,is_top_3,is_top_5,recommendation_time_s,delta_balanced_accuracy,delta_f1_score,delta_roc_auc,best_balanced_accuracy,rec_balanced_accuracy,best_f1_score,rec_f1_score,best_roc_auc,rec_roc_auc,problem_type,delta_multiclass_precision_macro,delta_multiclass_recall_macro,delta_multiclass_f1_weighted,best_multiclass_precision_macro,rec_multiclass_precision_macro,best_multiclass_recall_macro,rec_multiclass_recall_macro,best_multiclass_f1_weighted,rec_multiclass_f1_weighted
musk (id:1116),12,SVMSMOTE,XGBClassifier,0.997,RandomOverSampler,XGBClassifier,0.998,-0.001,5.0,58.33,False,False,True,0.0363,0.001,-0.001,0.0,0.998,0.999,0.996,0.995,1.0,1.0,binary,,,,,,,,,
dis (id:40713),12,RandomOverSampler,LGBMClassifier,0.812,RandomOverSampler,GradientBoostingClassifier,0.835,-0.023,7.0,41.67,False,False,False,0.0283,-0.081,0.005,-0.028,0.868,0.787,0.99,0.995,0.943,0.915,binary,,,,,,,,,
waveform.csv,56,ADASYN,BalancedRandomForestClassifier,0.786,SMOTETomek,RandomForestClassifier,0.807,-0.021,15.0,72.22,False,False,False,0.0331,,,,,,,,,,multiclass,-0.031,-0.011,-0.016,0.829,0.798,0.801,0.79,0.859,0.843
vowel.csv,56,RandomOverSampler,RandomForestClassifier,0.789,ADASYN,RandomForestClassifier,0.812,-0.023,8.0,85.71,False,False,False,0.0365,,,,,,,,,,multiclass,-0.025,-0.026,-0.02,0.815,0.79,0.793,0.767,0.825,0.805
vehicle.csv,56,SMOTE,GradientBoostingClassifier,0.748,ADASYN,BalancedRandomForestClassifier,0.757,-0.009,9.0,83.33,False,False,False,0.0382,,,,,,,,,,multiclass,-0.011,-0.008,-0.006,0.736,0.725,0.722,0.714,0.826,0.82
texture.csv,48,ADASYN,BalancedRandomForestClassifier,,SMOTE,RandomForestClassifier,0.967,,,,False,False,False,0.2286,,,,,,,,,,multiclass,,,,0.969,,0.966,,0.968,
synthetic_control.csv,56,ADASYN,RandomForestClassifier,0.957,ADASYN,RandomForestClassifier,0.957,0.0,1.0,98.21,True,True,True,0.047,,,,,,,,,,multiclass,0.0,0.0,0.0,0.964,0.964,0.947,0.947,0.963,0.963
students_dropout_and_academic_success.csv,56,RandomOverSampler,RandomForestClassifier,0.719,SMOTE,BalancedRandomForestClassifier,0.72,-0.001,3.0,94.55,False,True,True,0.0456,,,,,,,,,,multiclass,-0.005,0.002,-0.001,0.756,0.751,0.676,0.678,0.802,0.801
splice.csv,56,SMOTE,BalancedRandomForestClassifier,0.922,TomekLinks,GradientBoostingClassifier,0.943,-0.021,16.0,71.43,False,False,False,0.037,,,,,,,,,,multiclass,0.006,-0.047,-0.016,0.939,0.945,0.951,0.904,0.96,0.944
segment.csv,48,TomekLinks,RandomForestClassifier,0.972,SMOTE,RandomForestClassifier,0.976,-0.004,9.0,81.25,False,False,False,0.0317,,,,,,,,,,multiclass,-0.004,-0.005,-0.004,0.975,0.971,0.973,0.968,0.981,0.977
